study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_title
PRJNA292382	SAMN03979799	SRS1029554	SRX1140382	SRR2153310	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/000/SRR2153310/SRR2153310.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/000/SRR2153310/SRR2153310.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/000/SRR2153310	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/000/SRR2153310			1124 fish liver
PRJNA292382	SAMN03979800	SRS1029552	SRX1140383	SRR2153311	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/001/SRR2153311/SRR2153311.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/001/SRR2153311/SRR2153311.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/001/SRR2153311	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/001/SRR2153311			1124 fish muscle
PRJNA292382	SAMN03979801	SRS1029551	SRX1140384	SRR2153312	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/002/SRR2153312/SRR2153312.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/002/SRR2153312/SRR2153312.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/002/SRR2153312	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/002/SRR2153312			1130 lard liver
PRJNA292382	SAMN03979802	SRS1029550	SRX1140385	SRR2153313	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/003/SRR2153313/SRR2153313.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/003/SRR2153313/SRR2153313.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/003/SRR2153313	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/003/SRR2153313			1130 lard muscle
PRJNA292382	SAMN03979803	SRS1029548	SRX1140386	SRR2153314	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/004/SRR2153314/SRR2153314.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/004/SRR2153314/SRR2153314.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/004/SRR2153314	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/004/SRR2153314			1141 soy liver
PRJNA292382	SAMN03979752	SRS1029549	SRX1140387	SRR2153315	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/005/SRR2153315/SRR2153315.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/005/SRR2153315/SRR2153315.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/005/SRR2153315	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/005/SRR2153315			1141 soy muscle
PRJNA292382	SAMN03979753	SRS1029546	SRX1140388	SRR2153316	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/006/SRR2153316/SRR2153316.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/006/SRR2153316/SRR2153316.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/006/SRR2153316	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/006/SRR2153316			1121 control liver
PRJNA292382	SAMN03979754	SRS1029547	SRX1140389	SRR2153317	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/007/SRR2153317/SRR2153317.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/007/SRR2153317/SRR2153317.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/007/SRR2153317	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/007/SRR2153317			1121 control muscle
PRJNA292382	SAMN03979755	SRS1029545	SRX1140390	SRR2153318	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/008/SRR2153318/SRR2153318.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/008/SRR2153318/SRR2153318.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/008/SRR2153318	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/008/SRR2153318			1125 fish liver
PRJNA292382	SAMN03979756	SRS1029544	SRX1140391	SRR2153319	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2153319/SRR2153319.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2153319/SRR2153319.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2153319	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2153319			1101 lard liver
PRJNA292382	SAMN03979757	SRS1029543	SRX1140392	SRR2153320	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/000/SRR2153320/SRR2153320.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/000/SRR2153320/SRR2153320.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/000/SRR2153320	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/000/SRR2153320			1101 lard muscle
PRJNA292382	SAMN03979758	SRS1029542	SRX1140393	SRR2153321	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/001/SRR2153321/SRR2153321.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/001/SRR2153321/SRR2153321.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/001/SRR2153321	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/001/SRR2153321			1159 soy liver
